source,anchor,operative_outcome,recommended_destination,required_superior_delegation,duplicated_safeguards_cross_reference_risks,preservation_scenarios,destination_code
draft/rules_draft.md,제10조(의무) ②,OB도 정보·자산·계정 관리 규정을 따르며 본회의 명칭을 사용한 공식 활동은 승인을 받아야 한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제11조(지위와 구성) ①,임원진은 일상적인 행정·집행을 담당한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제11조(지위와 구성) ②,운영진은 그 자격만으로 임원의 권한을 행사할 수 없다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제11조(지위와 구성) ③,"필수 직책은 회장·부회장·회계·관리자이고, 임원회의는 필요한 일반 임원과 부서를 둘 수 있다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제12조(회장) ①,"회장은 본회를 대표하고 총회·임원회의를 소집하며 회칙과 의결의 이행, 대외관계와 임원진 업무를 총괄한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제12조(회장) ②,회장은 학기 초 사업계획을 공개하고 종강총회 전에 결과·미결업무·인계사항을 보고한다. 총회 전속사항이나 예산 변경은 별도로 의결받는다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,handover and access revocation,BYL
draft/rules_draft.md,제13조(부회장·회계·관리자) ①,부회장은 회장을 보좌하고 회장의 직무를 대행한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제13조(부회장·회계·관리자) ②,회계는 예산·장부·결산을 담당하고 위법하거나 위험한 지출을 보류할 수 있다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제13조(부회장·회계·관리자) ③,관리자는 시설·IT 자산·핵심 계정을 관리한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제14조(임명·보직·해임) ①,회장 또는 제5항에 따른 임원회의는 회장을 제외한 임원 후보자를 제청한다. 임원회의는 해당 후보자를 제외한 재적 임원 과반수의 참여와 참여자 과반수 찬성으로 그 후보자를 임명한다. 의결에 참여할 임원이 두 명 미만이거나 같은 후보자가 두 차례 부결되면 총회가 임명 여부를 결정할 수 있다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제14조(임명·보직·해임) ②,"회장은 임원의 보직과 업무를 정하여 공고한다. 임원회의는 당사자를 의결에서 제외하고 제1항의 기준으로 해임을 의결하되, 당사자에게 이유와 소명 기회를 먼저 제공한다.","GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제14조(임명·보직·해임) ③,"재정, 보안 또는 안전에 중대한 위험이 있으면 회장은 직무와 접근 권한을 임시 정지할 수 있다. 임원회의가 당사자를 의결에서 제외하고 72시간 안에 제1항의 기준으로 추인하지 않으면 임시 정지는 종료된다.","GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제14조(임명·보직·해임) ④,필수 직책의 겸직은 사유·기간·보완책을 기록한 경우에만 허용하며 회계·관리자에 대한 통제가 약해지면 독립 확인자를 둔다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Conflict/independence safeguard must remain attached to the decision it constrains.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제14조(임명·보직·해임) ⑤,필수 직책이 공석이 되면 회장은 14일 안에 후보자를 제청한다. 회장이 기한 안에 제청하지 않거나 직무를 수행할 수 없으면 임원회의가 그날부터 7일 안에 후보자를 제청한다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.",incapacity fallback,GOV
draft/rules_draft.md,제15조(임기·직무대행·인계) ①,"회장의 임기는 1년, 다른 임원의 임기는 한 학기로 하며 연임할 수 있다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제15조(임기·직무대행·인계) ②,"회장이 직무를 수행할 수 없으면 부회장이 대행하고, 부회장도 직무를 수행할 수 없으면 임원회의가 정한 사람이 대행한다. 부회장과 임원회의가 정한 사람이 모두 없으면 현직 임원이 임원회의를 소집하여 대행자를 정한다. 일시적인 직무 불능 상태가 끝나면 회장이 권한을 회복하고 직무대행 권한은 종료된다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,incapacity fallback,BYL
draft/rules_draft.md,제15조(임기·직무대행·인계) ③,"직무대행자는 통상 업무, 안전·보안·자산 보전, 승인 예산 집행과 선거 준비만 담당한다. 신규·장기계약, 임원 임면과 예산 밖 지출은 총회가 정한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"election eligibility, secrecy, verification, deadlock and challenge; contract authority and total-obligation review",BYL
draft/rules_draft.md,제15조(임기·직무대행·인계) ④,회장 잔여 임기가 8주를 넘으면 30일 안에 보궐선거를 한다. 8주 이하이면 정기선거까지 직무대행 체제를 유지할 수 있다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.,"election eligibility, secrecy, verification, deadlock and challenge",BYL
draft/rules_draft.md,제15조(임기·직무대행·인계) ⑤,임원은 사임 의사를 표시한 후 3일 안에 문서·자산·계정·미결 업무를 인계하고 접근 권한을 반납한다. 3일이 지나면 인계 완료와 관계없이 사임 효력이 생긴다. 임기 종료·해임에도 같은 의무를 진다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.,handover and access revocation,BYL
draft/rules_draft.md,제15조(임기·직무대행·인계) ⑥,모든 임원이 부재하면 회원발의 정족수를 충족한 회원이 임시 소집인을 정하여 임원진 재구성 총회를 소집할 수 있다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,all officers unavailable/reconstruction,BYL
draft/rules_draft.md,제16조(임원 회비),"임원은 해당 학기 회비를 면제받거나 이미 납부한 회비를 반환받는다. 같은 학기 중 해임·탄핵되면 회비를 납부한다. 면제·반환의 회계처리와 기록은 운영방침으로 정하고, 처리 내역은 결산에 별도로 공개한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제17조(총회) ①,총회는 회원 전체로 구성된 최고 의결기구이다. 정기총회는 매 학기 개강과 종강 무렵에 연다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제17조(총회) ②,회장·임원회의 또는 회원발의 정족수를 충족한 회원이 임시총회를 요구할 수 있다. 회장이 소집 요구를 받은 날부터 3일 안에 공고하지 않으면 요구자 대표가 소집한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제17조(총회) ③,제18조제1항의 공고 기한 전까지 회원발의 정족수를 충족한 회원이 공동 제출한 안건은 상정한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제18조(공고와 의결) ①,"총회는 7일 전까지 일시·방법·안건·자료·표결 방법과 총회 성립 정족수를 공식 채널에 공고한다. 사람의 안전을 지키거나, 회복하기 어려운 자산·정보 손실 또는 외부 마감에 따른 중대한 손해를 막기 위하여 기간 단축이 불가피한 경우에는 특별의결 안건을 제외하고 기간을 단축할 수 있으며, 그 사유를 함께 공고한다.","GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제18조(공고와 의결) ②,"총회는 총회 성립 정족수 이상의 회원이 참여하면 성립하고, 일반 안건은 참여자 과반수 찬성으로 의결한다.","GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제18조(공고와 의결) ③,기권은 참여자 수에 포함하고 가부동수는 부결한다. 기간투표의 세부 절차는 「SCSC 의사결정 세칙」으로 정한다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws.","ordinary operation; preserve actor, trigger, threshold, record and outcome",GOV
draft/rules_draft.md,제19조(전속사항과 특별의결) ①,"회칙·세칙의 제정·개정·폐지, 회장 선출·불신임·탄핵, 회원 제명, 예산·결산, 해산, 회원 권리의 중대한 제한과 법인으로 보는 단체의 설치·종료·교체는 총회만 의결한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,dissolution and recipient fallback,BYL
draft/rules_draft.md,제19조(전속사항과 특별의결) ②,"규정 개정, 불신임·탄핵, 제명, 회원 권리의 중대한 제한과 해산은 참여자 3분의 2 이상 찬성으로 의결한다. 회장 선출은 제25조에 따른다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.,dissolution and recipient fallback,BYL
draft/rules_draft.md,제19조(전속사항과 특별의결) ③,회원 권리의 중대한 제한은 목적·대상·범위·기간·필요성·대체수단과 재검토일을 7일 전까지 공고하고 필요한 최소 범위에서만 의결한다. 특정 회원에 대한 징계 절차를 우회할 수 없다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.,discipline due process and proportional sanctions; independent reconsideration,BYL
draft/rules_draft.md,제20조(임원회의) ①,임원회의는 모든 현직 임원으로 구성한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제20조(임원회의) ②,임원회의는 일상적인 사업·인사·재정·시설·대외 업무를 의결한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제20조(임원회의) ③,공고된 회의나 기간투표에 참여한 임원 과반수의 찬성으로 의결한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제20조(임원회의) ④,임원 한 명이 요청하면 무기명으로 표결한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제21조(표결 원칙) ①,일반 안건은 기명으로 표결한다. 선거·불신임·징계·제명과 개인 인사 안건은 무기명으로 표결한다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.","election eligibility, secrecy, verification, deadlock and challenge; discipline due process and proportional sanctions",GOV
draft/rules_draft.md,제21조(표결 원칙) ②,이해관계자는 해당 안건에서 회피한다.,"GA subrule G — meetings, decisions, elections and TFs","Bylaws must expressly delegate meeting, voting, election, emergency-decision and TF procedure to a GA-enacted subrule; reserved matters and final thresholds stay in bylaws.","Subrule must not alter reserved body, quorum, approval threshold, right or sanction fixed by bylaws. Conflict/independence safeguard must remain attached to the decision it constrains.",conflicted decision-maker fallback,GOV
